timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026-07-16T13:09:52Z,100, 55, 116637, 143771, 694.37, 67
2026-07-16T13:09:54Z,100, 53, 116637, 143771, 683.78, 68
2026-07-16T13:09:56Z,100, 54, 116637, 143771, 695.99, 68
2026-07-16T13:09:58Z,100, 54, 116637, 143771, 700.16, 69
2026-07-16T13:10:00Z,100, 56, 116637, 143771, 686.89, 69
2026-07-16T13:10:02Z,100, 56, 116637, 143771, 687.82, 67
2026-07-16T13:10:04Z,100, 50, 116637, 143771, 689.42, 68
2026-07-16T13:10:06Z,100, 54, 116637, 143771, 682.89, 68
2026-07-16T13:10:08Z,76, 42, 116637, 143771, 665.22, 63
2026-07-16T13:10:10Z,100, 52, 116637, 143771, 695.24, 68
2026-07-16T13:10:12Z,100, 54, 116637, 143771, 700.45, 68
2026-07-16T13:10:15Z,100, 52, 116637, 143771, 698.00, 68
2026-07-16T13:10:17Z,100, 54, 116637, 143771, 689.91, 66
2026-07-16T13:10:19Z,100, 51, 116637, 143771, 689.20, 69
2026-07-16T13:10:21Z,100, 55, 116637, 143771, 692.86, 68
2026-07-16T13:10:23Z,100, 57, 116637, 143771, 699.09, 68
2026-07-16T13:10:25Z,100, 58, 116637, 143771, 689.30, 66
2026-07-16T13:10:27Z,100, 56, 116637, 143771, 681.13, 69
2026-07-16T13:10:29Z,100, 52, 116637, 143771, 692.25, 68
2026-07-16T13:10:31Z,100, 55, 116637, 143771, 683.33, 68
2026-07-16T13:10:33Z,57, 31, 116637, 143771, 662.20, 67
2026-07-16T13:10:35Z,100, 54, 116637, 143771, 691.08, 66
2026-07-16T13:10:37Z,100, 53, 116637, 143771, 693.22, 67
2026-07-16T13:10:39Z,100, 51, 116637, 143771, 692.02, 67
2026-07-16T13:10:41Z,100, 56, 116637, 143771, 700.99, 67
2026-07-16T13:10:43Z,100, 53, 116637, 143771, 682.71, 68
2026-07-16T13:10:45Z,100, 55, 116637, 143771, 681.20, 68
2026-07-16T13:10:47Z,100, 54, 116637, 143771, 687.59, 68
2026-07-16T13:10:49Z,100, 69, 116637, 143771, 686.43, 69
2026-07-16T13:10:51Z,100, 57, 116637, 143771, 691.34, 66
2026-07-16T13:10:53Z,100, 46, 116637, 143771, 700.37, 66
2026-07-16T13:10:55Z,100, 54, 116637, 143771, 683.62, 67
2026-07-16T13:10:57Z,98, 52, 116637, 143771, 672.28, 68
2026-07-16T13:10:59Z,100, 57, 116637, 143771, 700.34, 68
2026-07-16T13:11:01Z,100, 57, 116637, 143771, 687.11, 67
2026-07-16T13:11:03Z,100, 53, 116637, 143771, 691.26, 67
2026-07-16T13:11:05Z,100, 55, 116637, 143771, 689.57, 68
